"","total_products","total_transactions","total_revenue","total_usage","total_accounts","churned","Business_Code","Location_Type","Year_Started","Public_Private_Indicator","Owns_Rents_Code","Square_Footage","Subsidiary_Indicator","Manufacturing_Indicator","Legal_Status_Code","Currency_Code","Status_Code","Population_Code","Hierarchy_Code","Revenue__US_Dollars_","Number_of_Family_Members","Employees_Here","Employee_Count_Total","Domestic_Ultimate_Employee_Count","Domestic_Ultimate_Revenue","Global_Ultimate_Indicator","Major_Industry_Category_Name","YearCreated","PropMissing","TP"
"17377",1,15,15.11,2099,1,"No","APAC","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.16666666666667,15
"17378",1,2,1544,0,44,"No","APAC","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.2,2
"17379",1,5,14.69,243,1,"No","EMEA","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.2,5
"17381",1,17,595.68,0,1,"No","USA","Single.Location",2011,"N","X0",2812,"X0","X1","X3","X20","X0","X9","X0",421716,0,2,2,2,421716,"N","Services",2015,0.133333333333333,17
"17382",1,68,1921.9,20218,1,"No","USA","Single.Location",1992,"N","X0",4530,"X0","X1","X3","X20","X0","X9","X0",2349913,0,7,7,7,2349913,"N","Services",2015,0.166666666666667,68
"17386",1,3,1428.81,0,1,"No","EMEA","Single.Location",2008,"N","X0",0,"X3","X0","X3","X5080","X0","X0","X2",16606371,760,134,134,134,16606371,"N","Services",2015,0.333333333333333,3
"17387",3,96,11103.26,146631,1,"No","EMEA","HQ",1993,"N","X0",0,"X3","X0","X3","X9410","X1","X0","X11",41898598,3526,NA,350,0,41898598,"N","Construction",2015,0.333333333333333,32
"17389",1,13,398.44,3227,1,"No","USA","Branch",2010,"N","X0",0,"X0","X0","X0","missing","X2","X0","X4",NA,967,NA,0,0,49374114,"N","Public.Administration",2015,0.433333333333333,13
"17390",2,22,284.33,2358,1,"No","USA","HQ",1987,"N","X0",0,"X3","X0","X3","X50","X1","X0","X5",19526224,967,NA,41,0,3491613,"N","Manufacturing",2015,0.333333333333333,11
"17391",2,102,20063.4,170139,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.33333333333333,51
"17393",1,2,145.32,177,1,"No","USA","Single.Location",2001,"N","X0",0,"X3","X0","X3","missing","X0","X0","X6",NA,17,52,52,52,0,"N","Manufacturing",2015,0.333333333333333,2
"17394",2,94,11514.02,230706,1,"No","USA","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.16666666666667,47
"17395",2,140,22154.96,396902,1,"No","USA","Single.Location",NA,"N","X0",0,"X0","X0","X3","missing","X0","X0","X0",NA,0,NA,0,0,0,"N","Services",2015,0.433333333333333,70
"17396",1,1,0.04,1,1,"No","USA","Single.Location",2007,"N","X1",24206,"X3","X0","X3","X20","X0","X9","X2",35756250,4,120,120,16,72844034,"N","Manufacturing",2015,0.1,1
"17397",1,11,100.16,7593,1,"No","EMEA","Single.Location",1955,"N","X0",0,"X3","X0","X3","X160","X0","X0","X4",260987,609,41,41,0,21900770880,"N","Transportation...Public.Utilities",2015,0.3,11
"17398",1,16,301.25,6871,1,"No","USA","HQ",2010,"N","X0",3318,"X0","X1","X0","X20","X1","X9","X1",986909,2,6,11,6,986909,"Y","Services",2015,0.133333333333333,16
"17400",1,46,7914.07,11338,1,"No","EMEA","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.2,46
"17401",1,21,2018,32482,1,"No","USA","HQ",1924,"N","X1",10000,"X0","X1","X3","X20","X1","X9","X1",31251421,99,60,500,60,31251421,"Y","Services",2015,0.1,21
"17404",2,40,4673.5,679718,1,"No","EMEA","HQ",1958,"N","X0",0,"X0","X0","X0","X160","X1","X0","X1",1951580,41,NA,50,0,1951580,"Y","Services",2015,0.366666666666667,20
"17405",1,2,1047.26,0,1,"No","EMEA","Single.Location",2009,"N","X0",0,"X0","X0","X3","X160","X0","X0","X0",NA,0,2,2,2,0,"N","Services",2015,0.366666666666667,2
"17406",1,36,824.53,4910,1,"No","USA","HQ",1993,"N","X1",10000,"X0","X1","X3","X20","X1","X8","X1",11593010,2,63,73,63,11593010,"Y","Agriculture..Forestry..Fishing",2015,0.1,36
"17407",2,109,31855.16,278835,1,"No","USA","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.16666666666667,54.5
"17408",1,5,25.67,63,1,"No","EMEA","Single.Location",1970,"N","X0",0,"X3","X0","X3","X5080","X0","X0","X3",25113451,121,37,37,37,25113451,"N","Manufacturing",2015,0.3,5
"17409",3,66,7976.66,117820,1,"No","USA","HQ",1979,"N","X1",14500,"X0","X0","X3","X20","X1","X9","X1",72718321,3,300,300,300,72718321,"Y","Services",2015,0.1,22
"17410",1,17,517.26,20653,1,"No","USA","Single.Location",2002,"N","X1",2807,"X0","X1","X3","X20","X0","X8","X0",1789612,0,28,28,28,1789612,"N","Services",2015,0.0666666666666667,17
"17411",2,82,27270.11,530679,1,"Yes","USA","HQ",1959,"N","X1",265000,"X3","X0","X3","X20","X1","X8","X2",666469910,51,500,1574,138,1444453000,"N","Manufacturing",2015,0.1,41
"17412",1,1,655.84,0,1,"No","APAC","Single.Location",1992,"N","X0",0,"X0","X0","X3","X970","X0","X0","X0",22919380,0,265,265,265,22919380,"N","Services",2015,0.333333333333333,1
"17413",3,8,462.13,1769,1,"No","APAC","Single.Location",2010,"N","X0",0,"X0","X0","X0","missing","X0","X0","X0",NA,0,NA,0,0,0,"N","Public.Administration",2015,0.466666666666667,2.66666666666667
"17414",1,28,1805.95,32077,1,"No","USA","Single.Location",2004,"N","X0",2816,"X0","X1","X3","X20","X0","X8","X0",955149,0,2,2,2,955149,"N","Services",2015,0.1,28
"17417",1,2,29.75,161,1,"No","USA","Single.Location",2014,"N","X0",0,"X0","X1","X0","X20","X0","X9","X0",127822,0,2,2,2,127822,"N","Services",2015,0.233333333333333,2
"17418",2,4,10.92,545,1,"No","USA","HQ",1997,"N","X0",13005,"X3","X1","X3","X20","X1","X6","X2",30740138,2934,35,62,400,3962036000,"N","Wholesale.Trade",2015,0.1,2
"17420",2,12,0,770.833334,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.33333333333333,6
"17421",1,1,0,32.666667,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.33333333333333,1
"17423",1,4,0,1830.583334,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.33333333333333,4
"17424",1,18,0,3917.400002,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.33333333333333,18
"17425",1,22,0,7369.949998,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.33333333333333,22
"17426",1,10,0,2795.85,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.33333333333333,10
"17427",2,34,0,14015.86667,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.33333333333333,17
"17428",1,1,13978.92,0,1,"No","APAC","HQ",2011,"N","X0",0,"X0","X0","X3","X3040","X1","X0","X1",909975232,10,NA,623,0,909975232,"Y","Finance..Insurance..Real.Estate",2015,0.3,1
"17429",4,229,172366.12,1639736,44,"No","EMEA","HQ",2004,"N","X2",45000,"X3","X1","X3","X20","X1","X9","X2",128802584,3,116,515,3,132412000,"N","Services",2015,0.1,57.25
"17432",2,123,23628.96,513610,1,"No","USA","HQ",1962,"N","X2",50000,"X0","X1","X3","X20","X1","X8","X1",37082932,4,190,200,190,37082932,"Y","Services",2015,0.1,61.5
"17433",1,16,837.1,4448,1,"No","USA","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.16666666666667,16
"17434",1,24,1369.61,44593,1,"No","USA","HQ",2011,"N","X0",3143,"X0","X1","X3","X20","X1","X9","X1",4914117,2,5,5,5,4914117,"Y","Services",2015,0.0666666666666667,24
"17435",1,7,58,268,1,"No","USA","Single.Location",1974,"N","X0",0,"X0","X0","X3","X30","X0","X0","X0",329672,0,238,238,238,329672,"N","Retail.Trade",2015,0.3,7
"17436",1,4,25.31,224,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.33333333333333,4
"17437",1,50,292.36,6162,1,"No","EMEA","Single.Location",NA,"N","X0",0,"X0","X0","X0","missing","X0","X0","X0",NA,0,1,1,1,0,"N","Public.Administration",2015,0.466666666666667,50
"17438",1,6,96.53,1100,1,"No","EMEA","HQ",2012,"N","X0",0,"X0","X0","X3","X160","X1","X0","X1",29203453,24,NA,76,0,29203453,"Y","Retail.Trade",2015,0.333333333333333,6
"17439",2,73,14143.67,380800,1,"No","USA","HQ",1928,"N","X2",0,"X0","X1","X3","X20","X1","X9","X1",1.5e+09,30,517,2000,517,1.5e+09,"Y","Transportation...Public.Utilities",2015,0.2,36.5
"17440",1,13,135.87,565,1,"No","APAC","Single.Location",2013,"N","X0",0,"X0","X0","X3","missing","X0","X0","X0",NA,0,NA,0,0,0,"N","Transportation...Public.Utilities",2015,0.433333333333333,13
"17441",2,4,0.5,12,1,"No","APAC","Single.Location",NA,"N","X0",0,"X0","X0","X3","missing","X0","X0","X0",NA,0,NA,0,0,0,"N","Public.Administration",2015,0.5,2
"17442",1,30,680.32,8726,1,"No","APAC","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.16666666666667,30
"17444",1,4,245.15,3339,1,"No","EMEA","HQ",2004,"N","X0",0,"X3","X0","X3","X5080","X1","X0","X2",16086283,9,NA,111,0,0,"N","Services",2015,0.366666666666667,4
"17445",1,1,25.4,283,1,"No","EMEA","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.2,1
"17447",2,26,1291.98,16566,1,"No","USA","Single.Location",1971,"N","X2",1000,"X0","X1","X3","X20","X0","X5","X0",339171,0,4,4,4,339171,"N","Construction",2015,0.166666666666667,13
"17451",2,16,750.08,16968,1,"No","EMEA","Single.Location",2007,"N","X0",0,"X0","X0","X3","X5080","X0","X0","X0",1237215,0,9,9,9,1237215,"N","Services",2015,0.333333333333333,8
"17452",1,1,0.98,152,1,"No","APAC","HQ",2011,"N","X0",0,"X0","X0","X3","X230","X1","X0","X1",6432489,2,NA,62,0,6432489,"Y","Services",2015,0.3,1
"17454",1,17,135.03,2090,1,"No","EMEA","Single.Location",NA,"N","X0",0,"X0","X0","X101","X5080","X0","X0","X0",43635,0,5,5,5,43635,"N","Services",2015,0.4,17
"17455",1,3,6.96,21,1,"No","EMEA","HQ",2008,"N","X0",0,"X3","X0","X3","X160","X1","X0","X2",24619603,7,NA,137,0,319235,"N","Services",2015,0.333333333333333,3
"17456",1,36,409.57,5798,1,"No","EMEA","Single.Location",2015,"N","X0",0,"X0","X0","X3","X160","X0","X0","X0",1717551,0,2,2,2,1717551,"N","Services",2015,0.333333333333333,36
"17457",2,67,2210.15,44660,1,"No","EMEA","Single.Location",2006,"N","X0",0,"X0","X0","X3","missing","X0","X0","X0",NA,0,10,10,10,0,"N","Services",2015,0.4,33.5
"17458",2,38,13738.3,22181,1,"No","EMEA","Single.Location",1848,"N","X0",0,"X3","X0","X0","X20","X0","X0","X7",9421300000,353,260,260,0,9.101e+09,"N","Manufacturing",2015,0.3,19
"17463",1,48,1439.23,7043,1,"No","USA","Branch",NA,"N","X0",30269,"X0","X1","X0","missing","X2","X9","X1",NA,179,106,0,200,229430055,"N","Services",2015,0.166666666666667,48
"17465",1,11,212.22,4184,1,"Yes","USA","Single.Location",1999,"N","X2",1800,"X0","X1","X3","X20","X0","X9","X0",9e+05,0,2,2,2,9e+05,"N","Finance..Insurance..Real.Estate",2015,0.166666666666667,11
"17467",1,8,107.39,2185,1,"No","EMEA","Single.Location",NA,"N","X0",0,"X0","X0","X12","X5080","X0","X0","X0",95678,0,2,2,2,95678,"N","Finance..Insurance..Real.Estate",2015,0.366666666666667,8
"17469",2,17,2716.46,1428,1,"No","USA","Single.Location",1982,"N","X0",5016,"X3","X1","X3","X20","X0","X9","X3",1413331,261,12,12,60,369960831,"N","Finance..Insurance..Real.Estate",2015,0.1,8.5
"17470",1,2,1.83,243,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.33333333333333,2
"17472",2,92,5092.88,77057,1,"No","EMEA","Single.Location",1968,"N","X0",0,"X3","X0","X3","X5080","X0","X0","X5",21070215,179,5,5,5,21070215,"N","Services",2015,0.3,46
"17473",1,23,185.94,4166,1,"No","USA","Single.Location",1997,"N","X1",1200,"X0","X1","X3","X20","X0","X9","X0",428160,0,6,6,6,428160,"N","Services",2015,0.166666666666667,23
"17475",3,134,22653.79,291635,1,"No","USA","HQ",2001,"N","X0",20000,"X3","X1","X3","X20","X1","X9","X2",33393818,28,140,140,140,33393818,"N","Retail.Trade",2015,0.133333333333333,44.6666666666667
"17478",2,97,12380.3,55623,1,"No","APAC","Single.Location",2014,"N","X0",0,"X0","X0","X0","missing","X0","X0","X0",NA,0,8,8,8,0,"N","Services",2015,0.4,48.5
"17479",1,40,2024.87,24160,1,"No","APAC","Single.Location",2015,"N","X0",0,"X3","X0","X0","X50","X0","X0","X2",1629597018,2,3470,3470,0,291476038,"N","Public.Administration",2015,0.3,40
"17480",1,52,3350.27,24130,1,"No","APAC","Branch",2014,"N","X0",0,"X0","X0","X120","X20","X2","X0","X5",19578286,22,2,0,2,19578286,"N","Wholesale.Trade",2015,0.3,52
"17481",1,1,1.47,50,1,"No","APAC","Single.Location",2015,"N","X0",0,"X3","X0","X3","X50","X0","X0","X3",13547951,83,5,5,0,47533423,"N","Services",2015,0.3,1
"17482",1,9,32.29,966,1,"No","USA","Single.Location",2011,"N","X0",4828,"X0","X1","X12","X20","X0","X9","X0",5912114,0,15,15,15,5912114,"N","Services",2015,0.2,9
"17483",1,1,2120,0,1,"No","USA","Single.Location",2014,"N","X0",2220,"X0","X1","X3","X20","X0","X8","X0",50780,0,2,2,2,50780,"N","Services",2015,0.133333333333333,1
"17484",3,92,32335.59,160847,1,"No","APAC","Single.Location",1990,"N","X0",0,"X3","X0","X3","X400","X0","X0","X5",52229538,1732,330,330,330,52229538,"N","Services",2015,0.266666666666667,30.6666666666667
"17485",1,38,737.95,13474,1,"No","EMEA","HQ",1993,"N","X0",0,"X3","X0","X3","X5080","X1","X0","X2",7912295,405,NA,16,0,7912295,"N","Wholesale.Trade",2015,0.366666666666667,38
"17486",1,50,25744.7,277345,1,"No","EMEA","Single.Location",2003,"N","X0",0,"X0","X0","X12","X160","X0","X0","X0",1094318,0,22,22,22,1094318,"N","Services",2015,0.333333333333333,50
"17488",1,3,137.44,222,1,"No","EMEA","Single.Location",2012,"N","X0",0,"X0","X0","X12","X160","X0","X0","X0",NA,0,1,1,1,0,"N","Public.Administration",2015,0.366666666666667,3
"17489",1,66,1239.52,9038,1,"No","USA","HQ",2006,"N","X2",8189,"X3","X1","X3","X20","X1","X9","X2",15239266,3,42,42,42,15239266,"N","Transportation...Public.Utilities",2015,0.166666666666667,66
"17490",1,1,-28,0,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.33333333333333,1
"17491",1,27,235.27,607,1,"No","USA","Single.Location",NA,"N","X0",0,"X0","X0","X0","X30","X0","X0","X0",90339,0,1,1,1,90339,"N","Retail.Trade",2015,0.366666666666667,27
"17494",3,44,2283.77,46449,1,"No","EMEA","HQ",1984,"N","X0",0,"X3","X0","X3","X5080","X1","X0","X5",74459485,1732,NA,500,0,74459485,"N","Construction",2015,0.333333333333333,14.6666666666667
"17495",1,18,2252.15,56064,1,"No","USA","Single.Location",2009,"N","X0",5254,"X0","X1","X12","X20","X0","X8","X0",1209564,0,10,10,10,1209564,"N","Services",2015,0.133333333333333,18
"17496",1,57,6385.1,38273,1,"No","APAC","Single.Location",2017,"N","X0",0,"X0","X0","X0","missing","X0","X0","X0",NA,0,NA,0,0,0,"N","Services",2015,0.433333333333333,57
"17500",1,10,92.76,3773,1,"No","APAC","Branch",2004,"N","X0",0,"X0","X0","X120","missing","X2","X0","X2",NA,1225,30,0,30,0,"N","Services",2015,0.4,10
"17502",1,61,4359.38,14008,1,"No","APAC","Single.Location",2003,"N","X0",0,"X3","X0","X3","missing","X0","X0","X2",NA,3,NA,0,0,5325060495,"N","Services",2015,0.4,61
"17503",6,293,456369.64,5493200,1,"No","EMEA","Branch",2010,"N","X0",0,"X0","X0","X3","missing","X2","X0","X0",NA,0,NA,0,0,0,"N","Manufacturing",2015,0.433333333333333,48.8333333333333
"17504",2,11,2703.1,1359,1,"No","EMEA","HQ",1819,"N","X0",0,"X0","X0","X3","X5080","X1","X0","X1",7231874152,608,NA,46496,0,7231874152,"Y","Finance..Insurance..Real.Estate",2015,0.366666666666667,5.5
"17507",1,10,661.32,3056,1,"No","APAC","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.2,10
"17509",3,58,1487.45,16927,1,"No","EMEA","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.2,19.3333333333333
"17511",2,72,6358.3,158483,1,"No","EMEA","Single.Location",1998,"N","X0",0,"X3","X0","X3","X9410","X0","X0","X4",20355151,64,380,380,380,20355151,"N","Finance..Insurance..Real.Estate",2015,0.3,36
"17512",1,1,2.19,0,1,"No","USA","Branch",2017,"N","X0",0,"X0","X0","X0","missing","X2","X0","X0",NA,0,NA,0,0,0,"N","Finance..Insurance..Real.Estate",2015,0.433333333333333,1
"17514",1,41,611.2,3820,1,"No","USA","Single.Location",2007,"N","X0",2575,"X0","X1","X0","X20","X0","X7","X0",404369,0,3,3,3,404369,"N","Services",2015,0.166666666666667,41
"17515",1,40,9579.61,318228,1,"No","USA","Single.Location",1902,"N","X2",4922,"X0","X1","X3","X20","X0","X9","X0",5203531,0,19,19,19,5203531,"N","Agriculture..Forestry..Fishing",2015,0.166666666666667,40
"17516",1,34,440.59,11015,1,"No","USA","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.16666666666667,34
"17518",1,50,1188.42,19803,1,"No","APAC","HQ",2014,"N","X0",0,"X3","X0","X3","missing","X1","X0","X2",NA,35,NA,200,0,0,"N","Finance..Insurance..Real.Estate",2015,0.366666666666667,50
"17521",2,14,178.16,6638,1,"No","EMEA","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.2,7
"17522",1,9,55.88,2069,1,"No","USA","Single.Location",NA,"N","X0",0,"X0","X1","X0","X20","X0","X9","X0",69000,0,1,1,1,69000,"N","Services",2015,0.3,9
"17523",1,114,18853.59,21312,1,"No","USA","HQ",2014,"Y","X0",2536,"X0","X1","X3","X20","X1","X9","X1",472438000,2,2,2,2,472438000,"Y","Finance..Insurance..Real.Estate",2015,0.133333333333333,114
"17524",3,217,171763.63,12130624,1,"No","USA","HQ",1969,"N","X1",26000,"X3","X1","X3","X20","X1","X7","X2",3057758887,128,2400,14171,9,6555459000,"N","Transportation...Public.Utilities",2015,0.1,72.3333333333333
"17525",2,55,67356.19,882548,1,"Yes","USA","HQ",2006,"N","X2",50000,"X3","X1","X3","X20","X1","X9","X3",658961295,653,85,1745,40,6367284000,"N","Retail.Trade",2015,0.0666666666666667,27.5
"17527",1,62,8194.37,218554,1,"Yes","USA","HQ",1989,"N","X0",9000,"X0","X1","X3","X20","X1","X9","X1",57321785,9,45,525,45,57321785,"Y","Services",2015,0.0666666666666667,62
"17528",1,45,1038.57,23890,1,"No","USA","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.16666666666667,45
"17529",1,16,431.94,10444,1,"No","USA","Single.Location",2011,"N","X0",3237,"X0","X1","X0","X20","X0","X8","X0",84309,0,3,3,3,84309,"N","Services",2015,0.2,16
"17532",2,146,17073.98,176936,1,"Yes","EMEA","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.2,73
"17534",3,42,768.79,10622,1,"No","EMEA","HQ",1996,"N","X0",0,"X3","X0","X3","X9410","X1","X0","X5",14545389,3526,NA,40,0,14545389,"N","Construction",2015,0.333333333333333,14
"17535",4,205,42892.86,704833,1,"No","EMEA","Single.Location",2014,"N","X0",0,"X0","X0","X3","X160","X0","X0","X0",10988360,0,3,3,3,10988360,"N","Services",2015,0.3,51.25
"17538",2,53,3976.69,64507,1,"Yes","USA","Single.Location",2014,"N","X0",1721,"X0","X1","X3","X20","X0","X7","X0",55858,0,1,1,1,55858,"N","Services",2015,0.2,26.5
"17539",1,14,30.66,0,1,"Yes","USA","HQ",1999,"N","X2",15000,"X3","X0","X3","X20","X1","X9","X2",8370437153,375,40,22000,40,8370437153,"N","Manufacturing",2015,0.0666666666666667,14
"17540",1,24,658.41,16423,1,"No","USA","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.16666666666667,24
"17541",2,32,1596.51,19627,129,"No","APAC","Single.Location",1992,"N","X0",0,"X3","X0","X3","X970","X0","X0","X2",1370285,143,NA,0,0,1708137,"N","Services",2015,0.366666666666667,16
"17542",1,13,99.02,2044,1,"No","USA","Single.Location",2017,"N","X0",0,"X0","X1","X0","X20","X0","X9","X0",94459,0,7,7,7,94459,"N","Public.Administration",2015,0.2,13
"17543",1,3,25.58,282,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.33333333333333,3
"17544",1,51,6827.52,28858,1,"No","APAC","Single.Location",2006,"N","X0",0,"X3","X0","X3","X220","X0","X0","X2",2064000,2,10,10,10,2064000,"N","Finance..Insurance..Real.Estate",2015,0.3,51
"17546",2,72,763.26,11373,1,"No","EMEA","Single.Location",2007,"N","X0",0,"X0","X0","X3","X160","X0","X0","X0",NA,0,6,6,6,0,"N","Transportation...Public.Utilities",2015,0.366666666666667,36
"17548",2,85,44722.15,693642,1,"No","USA","HQ",2012,"N","X0",7497,"X0","X1","X3","X20","X1","X9","X1",590325061,31,50,1302,50,590325061,"Y","Construction",2015,0.1,42.5
"17550",1,72,1820.33,48303,1,"No","USA","Single.Location",2017,"N","X0",17522,"X3","X0","X3","X20","X0","X9","X3",91126494,37,400,400,50,768870000,"N","Transportation...Public.Utilities",2015,0.1,72
"17551",1,11,109.55,1985,1,"No","USA","Single.Location",2013,"N","X0",1725,"X0","X1","X12","X20","X0","X8","X0",69379,0,1,1,1,69379,"N","Services",2015,0.166666666666667,11
"17552",1,34,1054.63,8854,1,"No","EMEA","Single.Location",NA,"N","X0",0,"X0","X0","X3","missing","X0","X0","X0",NA,0,110,110,110,0,"N","Services",2015,0.433333333333333,34
"17553",2,27,1253.38,128886,64,"No","EMEA","Branch",2016,"N","X0",0,"X0","X0","X0","missing","X2","X0","X2",NA,6308,NA,0,0,0,"N","Finance..Insurance..Real.Estate",2015,0.433333333333333,13.5
"17555",5,193,109487.08,2661560,44,"No","USA","Single.Location",NA,"N","X0",0,"X0","X0","X3","X160","X0","X0","X0",NA,0,3,3,3,0,"N","Services",2015,0.4,38.6
"17557",5,174,63515.95,959954,64,"No","USA","HQ",1986,"N","X2",9000,"X3","X1","X3","X20","X1","X9","X2",1136885000,479,3,9000,3,1136885000,"N","Construction",2015,0.1,34.8
"17558",2,111,8572.45,69438,1,"No","USA","Single.Location",2014,"N","X0",12430,"X0","X1","X3","X20","X0","X8","X0",324275,0,99,99,99,324275,"N","Services",2015,0.2,55.5
"17559",1,18,229.48,8777,1,"Yes","USA","Single.Location",2008,"Y","X2",127000,"X0","X1","X3","X20","X0","X9","X0",125105000,0,341,561,341,125105000,"N","Services",2015,0.1,18
"17560",1,5,192.56,1199,1,"No","APAC","Single.Location",2017,"N","X0",0,"X0","X0","X0","X280","X0","X0","X0",218867,0,15,15,15,218867,"N","Services",2015,0.333333333333333,5
"17561",1,6,2402.04,0,1,"No","APAC","HQ",2017,"N","X0",0,"X0","X0","X0","X280","X1","X0","X1",14517822,12,NA,158,0,14517822,"Y","Services",2015,0.366666666666667,6
"17562",1,37,590.83,5726,1,"No","EMEA","Single.Location",2013,"N","X0",0,"X0","X0","X3","X5080","X0","X0","X0",549224,0,2,2,2,549224,"N","Finance..Insurance..Real.Estate",2015,0.3,37
"17564",2,5,18.78,437,1,"No","USA","Single.Location",NA,"N","X0",0,"X0","X0","X3","X160","X0","X0","X0",NA,0,3,3,3,0,"N","Services",2015,0.4,2.5
"17567",1,27,357.98,6357,1,"No","EMEA","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2015,1.2,27
"17568",1,33,1971.58,45912,1,"Yes","USA","Single.Location",1905,"N","X1",28000,"X0","X1","X3","X20","X0","X8","X0",9673853,0,57,57,57,9673853,"N","Services",2015,0.1,33
"17569",3,79,8574.44,113082,78,"No","APAC","HQ",1986,"N","X0",0,"X0","X0","X3","X20","X1","X0","X1",2e+08,2,NA,180,0,2e+08,"Y","Services",2015,0.366666666666667,26.3333333333333
"17570",2,22,1208.41,1947,1,"No","USA","Single.Location",2007,"N","X2",2500,"X0","X1","X3","X20","X0","X9","X0",142576,0,2,2,2,142576,"N","Transportation...Public.Utilities",2015,0.2,11
"17571",1,26,168.96,3384,1,"No","USA","Single.Location",1992,"N","X2",2368,"X0","X1","X12","X20","X0","X9","X0",129710,0,7,7,7,129710,"N","Services",2015,0.166666666666667,26
"17572",1,4,21.17,307,1,"No","USA","HQ",2012,"N","X0",5188,"X0","X1","X3","X20","X1","X9","X1",1262102470,145,10,10233,10,1262102470,"Y","Services",2015,0.1,4
"17573",4,146,163800.95,1855761,44,"No","USA","HQ",2002,"N","X2",7154,"X3","X1","X3","X20","X1","X9","X3",114878000,1247,86,500,86,114878000,"N","Finance..Insurance..Real.Estate",2015,0.1,36.5
"17574",3,189,112740.96,957881,1,"No","USA","HQ",2007,"N","X2",450000,"X3","X0","X3","X20","X1","X9","X3",231927183,124,350,550,250,359522927,"N","Wholesale.Trade",2015,0.0666666666666667,63
