"","total_products","total_transactions","total_revenue","total_usage","total_accounts","churned","Business_Code","Location_Type","Year_Started","Public_Private_Indicator","Owns_Rents_Code","Square_Footage","Subsidiary_Indicator","Manufacturing_Indicator","Legal_Status_Code","Currency_Code","Status_Code","Population_Code","Hierarchy_Code","Revenue__US_Dollars_","Number_of_Family_Members","Employees_Here","Employee_Count_Total","Domestic_Ultimate_Employee_Count","Domestic_Ultimate_Revenue","Global_Ultimate_Indicator","Major_Industry_Category_Name","YearCreated","PropMissing","TP"
"133",9,1124,14917779.62,861482918,48,"No","USA","Branch",NA,"N","X0",4308,"X0","X1","X0","missing","X2","X9","X1",NA,231,5,0,146,8.4863e+10,"N","Finance..Insurance..Real.Estate",1999,0.366666666666667,124.888888888889
"137",4,264,835136.92,39414477,44,"No","USA","HQ",2015,"N","X0",11114,"X3","X1","X3","X20","X1","X8","X2",1337926206,2811,148,12501,2000,9641800000,"N","Services",1999,0.0666666666666667,66
"138",1,38,5540.5,109258,1,"No","USA","Single.Location",NA,"N","X0",0,"X0","X1","X0","missing","X0","X9","X0",NA,0,11,11,11,0,"N","Retail.Trade",1999,0.366666666666667,38
"139",2,76,34459.8,299735,1,"No","USA","Single.Location",2002,"N","X2",22000,"X0","X1","X3","X20","X0","X9","X0",52994053,0,275,275,275,52994053,"N","Services",1999,0.1,38
"140",3,135,44624.4,1183046,44,"No","USA","HQ",2016,"N","X2",85090,"X3","X1","X3","X20","X1","X9","X2",1973889900,27,119,429,5,2043548777,"N","Services",1999,0.0666666666666667,45
"142",2,5,32.85,6,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",1999,1.33333333333333,2.5
"143",2,123,9399.51,427780,105,"No","USA","Branch",NA,"N","X0",24223,"X0","X1","X0","missing","X2","X9","X2",NA,153,100,0,170,460245000,"N","Transportation...Public.Utilities",1999,0.233333333333333,61.5
"144",1,1,2.49,0,1,"No","USA","Single.Location",2011,"N","X0",0,"X0","X1","X0","missing","X0","X5","X0",NA,0,NA,0,0,0,"N","Public.Administration",1999,0.366666666666667,1
"145",1,64,4753.96,29650,1,"No","USA","HQ",2001,"N","X2",3531,"X0","X1","X12","X20","X1","X9","X1",2668291,2,18,20,18,2668291,"Y","Services",1999,0.1,64
"146",2,8,7792.25,242,1,"No","USA","Branch",NA,"N","X0",10336,"X0","X0","X0","missing","X2","X9","X1",NA,91,4,0,250,3.347e+09,"N","Manufacturing",1999,0.3,4
"147",5,454,661777.24,23166955,44,"No","USA","Single.Location",1987,"N","X0",6372,"X0","X1","X3","X20","X0","X7","X0",3299990,0,29,29,29,3299990,"N","Retail.Trade",1999,0.133333333333333,90.8
